Query,PG-Seq,PG-Nat
join1,122.2630,142.9890
join2,2018.1110,22.1080
join3,0.0200,8.9400
join4,0.7050,21.8540
agg1,19.0260,12074.8310
agg2,0.0270,19.1070
agg3,0.0280,0.0390
agg_join,17966.4540,12265.3120
diff1,16.5460,7.0170
diff2,75.7300,92.4390
