Query,PG-Seq,PG-Nat
q1,21.6620,3721.0190
q5,1.5540,740.1280
q6,2.0840,11.1940
q7,1.8940,729.8920
q8,4.1150,1162.0930
q9,11.7330,0.0000
q12,3.5650,66.1480
q14,6.7120,410.8760
q19,2.2610,12.9000
